O*NET-SOC Code,Title,Total_Skills,Essential_Skills,Software_Skills
53-7072.00,"Pump Operators, Except Wellhead Pumpers",17,10,7
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",17,10,7
53-6051.00,Transportation Inspectors,17,10,7
53-6031.00,Automotive and Watercraft Service Attendants,17,10,7
53-3031.00,Driver/Sales Workers,17,10,7
53-1041.00,Aircraft Cargo Handling Supervisors,17,10,7
29-1023.00,Orthodontists,17,10,7
51-9111.00,Packaging and Filling Machine Operators and Tenders,17,10,7
51-9082.00,Medical Appliance Technicians,17,10,7
29-1041.00,Optometrists,17,10,7
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",17,10,7
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",17,10,7
51-9011.00,Chemical Equipment Operators and Tenders,17,10,7
29-1124.00,Radiation Therapists,17,10,7
29-2012.01,Histology Technicians,17,10,7
29-1126.00,Respiratory Therapists,17,10,7
29-1128.00,Exercise Physiologists,17,10,7
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",17,10,7
51-6092.00,Fabric and Apparel Patternmakers,17,10,7
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,17,10,7
29-1141.03,Critical Care Nurses,17,10,7
51-4192.00,"Layout Workers, Metal and Plastic",17,10,7
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",17,10,7
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",17,10,7
29-2011.04,Histotechnologists,17,10,7
41-2021.00,Counter and Rental Clerks,17,10,7
47-2041.00,Carpet Installers,17,10,7
31-9099.02,Endoscopy Technicians,17,10,7
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",17,10,7
47-4051.00,Highway Maintenance Workers,17,10,7
29-2081.00,"Opticians, Dispensing",17,10,7
43-5051.00,Postal Service Clerks,17,10,7
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,17,10,7
45-2041.00,"Graders and Sorters, Agricultural Products",17,10,7
45-3031.00,Fishing and Hunting Workers,17,10,7
31-9097.00,Phlebotomists,17,10,7
39-1013.00,First-Line Supervisors of Gambling Services Workers,17,10,7
31-9095.00,Pharmacy Aides,17,10,7
47-2021.00,Brickmasons and Blockmasons,17,10,7
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",17,10,7
47-2061.00,Construction Laborers,17,10,7
47-2081.00,Drywall and Ceiling Tile Installers,17,10,7
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",17,10,7
31-1133.00,Psychiatric Aides,17,10,7
29-2057.00,Ophthalmic Medical Technicians,17,10,7
35-3023.00,Fast Food and Counter Workers,17,10,7
31-1122.00,Personal Care Aides,17,10,7
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",17,10,7
39-2021.00,Animal Caretakers,17,10,7
39-3012.00,Gambling and Sports Book Writers and Runners,17,10,7
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",17,10,7
39-3092.00,Costume Attendants,17,10,7
29-2033.00,Nuclear Medicine Technologists,16,10,6
39-5094.00,Skincare Specialists,16,10,6
31-2022.00,Physical Therapist Aides,16,10,6
51-6051.00,"Sewers, Hand",16,10,6
53-7064.00,"Packers and Packagers, Hand",16,10,6
11-3051.02,Geothermal Production Managers,16,10,6
47-2073.00,Operating Engineers and Other Construction Equipment Operators,16,10,6
31-9091.00,Dental Assistants,16,10,6
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",16,10,6
47-2121.00,Glaziers,16,10,6
53-7071.00,Gas Compressor and Gas Pumping Station Operators,16,10,6
11-1031.00,Legislators,16,0,16
47-2142.00,Paperhangers,16,10,6
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16,10,6
51-7011.00,Cabinetmakers and Bench Carpenters,16,10,6
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",16,10,6
53-7021.00,Crane and Tower Operators,16,10,6
53-6061.00,Passenger Attendants,16,10,6
53-6011.00,Bridge and Lock Tenders,16,10,6
33-1011.00,First-Line Supervisors of Correctional Officers,16,10,6
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",16,10,6
29-1081.00,Podiatrists,16,10,6
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",16,10,6
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",16,10,6
51-9071.06,Gem and Diamond Workers,16,10,6
51-3021.00,Butchers and Meat Cutters,16,10,6
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",16,10,6
35-3041.00,"Food Servers, Nonrestaurant",16,10,6
39-3011.00,Gambling Dealers,16,10,6
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",16,10,6
37-3011.00,Landscaping and Groundskeeping Workers,16,10,6
39-5092.00,Manicurists and Pedicurists,16,10,6
53-7121.00,"Tank Car, Truck, and Ship Loaders",16,10,6
47-4021.00,Elevator and Escalator Installers and Repairers,16,10,6
29-1291.00,Acupuncturists,16,10,6
29-1217.00,Neurologists,16,10,6
29-1218.00,Obstetricians and Gynecologists,16,10,6
49-9061.00,Camera and Photographic Equipment Repairers,16,10,6
29-1221.00,"Pediatricians, General",16,10,6
29-2092.00,Hearing Aid Specialists,16,10,6
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",16,10,6
49-9044.00,Millwrights,16,10,6
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,16,10,6
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,16,10,6
29-2053.00,Psychiatric Technicians,16,10,6
51-2061.00,Timing Device Assemblers and Adjusters,16,10,6
49-3091.00,Bicycle Repairers,16,10,6
49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",16,10,6
29-1181.00,Audiologists,16,10,6
47-5041.00,Continuous Mining Machine Operators,16,10,6
47-2211.00,Sheet Metal Workers,16,10,6
29-2035.00,Magnetic Resonance Imaging Technologists,16,10,6
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",15,10,5
35-2021.00,Food Preparation Workers,15,10,5
35-2012.00,"Cooks, Institution and Cafeteria",15,10,5
51-3023.00,Slaughterers and Meat Packers,15,10,5
53-7063.00,Machine Feeders and Offbearers,15,10,5
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",15,10,5
35-3011.00,Bartenders,15,10,5
39-9011.01,Nannies,15,10,5
45-2091.00,Agricultural Equipment Operators,15,10,5
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",15,10,5
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",15,10,5
51-8091.00,Chemical Plant and System Operators,15,10,5
29-2011.02,Cytotechnologists,15,10,5
53-7031.00,Dredge Operators,15,10,5
43-3041.00,Gambling Cage Workers,15,10,5
51-9191.00,Adhesive Bonding Machine Operators and Tenders,15,10,5
39-4021.00,Funeral Attendants,15,10,5
51-9194.00,Etchers and Engravers,15,10,5
51-9195.03,"Stone Cutters and Carvers, Manufacturing",15,10,5
43-5021.00,Couriers and Messengers,15,10,5
49-3093.00,Tire Repairers and Changers,15,10,5
29-1129.02,Music Therapists,15,10,5
49-2097.00,Audiovisual Equipment Installers and Repairers,15,10,5
53-7011.00,Conveyor Operators and Tenders,15,10,5
29-1241.00,"Ophthalmologists, Except Pediatric",15,10,5
53-4011.00,Locomotive Engineers,15,10,5
39-5093.00,Shampooers,15,10,5
53-5022.00,Motorboat Operators,15,10,5
53-6021.00,Parking Attendants,15,10,5
39-4011.00,Embalmers,15,10,5
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,15,10,5
29-2032.00,Diagnostic Medical Sonographers,15,10,5
51-6031.00,Sewing Machine Operators,15,10,5
49-9096.00,Riggers,15,10,5
47-3013.00,Helpers--Electricians,15,10,5
51-2041.00,Structural Metal Fabricators and Fitters,15,10,5
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",15,10,5
47-2053.00,Terrazzo Workers and Finishers,15,10,5
51-4194.00,"Tool Grinders, Filers, and Sharpeners",15,10,5
47-2043.00,Floor Sanders and Finishers,15,10,5
51-4061.00,"Model Makers, Metal and Plastic",15,10,5
51-2031.00,Engine and Other Machine Assemblers,15,10,5
51-4052.00,"Pourers and Casters, Metal",15,10,5
51-4051.00,Metal-Refining Furnace Operators and Tenders,15,10,5
31-1132.00,Orderlies,15,10,5
51-7031.00,"Model Makers, Wood",15,10,5
51-7032.00,"Patternmakers, Wood",15,10,5
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",15,10,5
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,14,10,4
47-4031.00,Fence Erectors,14,10,4
47-2221.00,Structural Iron and Steel Workers,14,10,4
27-2091.00,"Disc Jockeys, Except Radio",14,10,4
37-3013.00,Tree Trimmers and Pruners,14,10,4
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",14,10,4
29-9093.00,Surgical Assistants,14,10,4
47-2082.00,Tapers,14,10,4
47-2132.00,"Insulation Workers, Mechanical",14,10,4
47-2072.00,Pile Driver Operators,14,10,4
49-3022.00,Automotive Glass Installers and Repairers,14,10,4
51-4071.00,Foundry Mold and Coremakers,14,10,4
51-4062.00,"Patternmakers, Metal and Plastic",14,10,4
53-7061.00,Cleaners of Vehicles and Equipment,14,10,4
39-6011.00,Baggage Porters and Bellhops,14,10,4
53-7062.04,Recycling and Reclamation Workers,14,10,4
47-5081.00,Helpers--Extraction Workers,14,10,4
47-5023.00,"Earth Drillers, Except Oil and Gas",14,10,4
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",14,10,4
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",14,10,4
47-2051.00,Cement Masons and Concrete Finishers,14,10,4
51-6041.00,Shoe and Leather Workers and Repairers,14,10,4
29-1021.00,"Dentists, General",14,10,4
35-2011.00,"Cooks, Fast Food",14,10,4
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",14,10,4
31-9011.00,Massage Therapists,14,10,4
47-3016.00,Helpers--Roofers,14,10,4
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",14,10,4
51-7021.00,Furniture Finishers,14,10,4
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",14,10,4
51-6021.00,"Pressers, Textile, Garment, and Related Materials",13,10,3
53-3052.00,"Bus Drivers, Transit and Intercity",13,10,3
51-9031.00,"Cutters and Trimmers, Hand",13,10,3
29-1161.00,Nurse Midwives,13,10,3
33-9091.00,Crossing Guards and Flaggers,13,10,3
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",13,10,3
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",13,10,3
49-9092.00,Commercial Divers,13,10,3
47-2171.00,Reinforcing Iron and Rebar Workers,13,10,3
51-3092.00,Food Batchmakers,13,10,3
53-3051.00,"Bus Drivers, School",13,10,3
49-9095.00,Manufactured Building and Mobile Home Installers,13,10,3
47-5011.00,"Derrick Operators, Oil and Gas",13,10,3
29-1022.00,Oral and Maxillofacial Surgeons,13,10,3
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,13,10,3
35-3031.00,Waiters and Waitresses,13,10,3
29-1229.04,Physical Medicine and Rehabilitation Physicians,13,10,3
29-1024.00,Prosthodontists,13,10,3
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",13,10,3
35-3023.01,Baristas,13,10,3
51-9123.00,"Painting, Coating, and Decorating Workers",13,10,3
51-9195.05,"Potters, Manufacturing",13,10,3
51-2021.00,"Coil Winders, Tapers, and Finishers",13,10,3
29-2036.00,Medical Dosimetrists,12,10,2
53-7041.00,Hoist and Winch Operators,12,10,2
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",12,10,2
47-5043.00,"Roof Bolters, Mining",12,10,2
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",12,10,2
33-9094.00,School Bus Monitors,12,10,2
41-2012.00,Gambling Change Persons and Booth Cashiers,12,10,2
29-1151.00,Nurse Anesthetists,12,10,2
51-9022.00,"Grinding and Polishing Workers, Hand",12,10,2
35-9021.00,Dishwashers,12,10,2
47-2151.00,Pipelayers,12,10,2
35-2015.00,"Cooks, Short Order",12,10,2
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",12,10,2
51-2051.00,Fiberglass Laminators and Fabricators,12,10,2
19-4044.00,Hydrologic Technicians,11,0,11
51-3093.00,Food Cooking Machine Operators and Tenders,11,10,1
49-9063.00,Musical Instrument Repairers and Tuners,11,10,1
29-1214.00,Emergency Medicine Physicians,11,10,1
53-4041.00,Subway and Streetcar Operators,11,10,1
27-4015.00,Lighting Technicians,11,0,11
17-3028.00,Calibration Technologists and Technicians,10,0,10
29-2042.00,Emergency Medical Technicians,6,0,6
53-3054.00,Taxi Drivers,6,0,6
39-4012.00,Crematory Operators,4,0,4
29-1242.00,"Orthopedic Surgeons, Except Pediatric",4,0,4
29-1243.00,Pediatric Surgeons,4,0,4
29-1212.00,Cardiologists,2,0,2
